at,userName,score,content
2024-10-13 10:25:00,wheny purnama,5,mantappppzzz tempat ngopi idaman
2024-10-13 09:00:21,Erni Rokhaeci,5,enak
2024-10-12 14:16:49,Nurmala Sari,5,tempatnya nyaman
2024-10-12 13:31:03,Emmy Endarwati,4,Mantap kopinya
2024-10-12 13:28:28,Diana Suci,5,"mantap.. hadiah ultahnya,, cuma bayar 6k buat yg large.. hehehe"
2024-10-11 23:38:08,Surya Antaryathi,5,aplikasinya keren tanpa antre dan byk diskon🥰
2024-10-11 13:26:55,Ferry Nurdiansyah,5,good coffee taste
2024-10-11 10:18:39,Ade Muhammad,5,Gurih kopinya
2024-10-11 05:21:34,Putra Chania,1,aplikasi online di Atif kan.tapi oderan gak buat khusus Batam grand mol.dah antri panjang gk buat lagi kalau gak mau buat oderan tinggal d of kan aplikasi.ini sampai 1 jam og nunggu 1 oderan
2024-10-11 02:56:53,Omath Rochmat,4,"Meskipun bnyak pesanan di outlet yg dari aplikasi lain, dibuatnya aplikasi sendiri ini tuh biar gak terlalu lama ngantri kan? Tapi tetep aja ya pickup sendiri dari apk fore nya tetep aja harus nunggu kaya pesen dari apk lainya yg jelas² harusnya antriannya beda sendiri dari apk² yg lainnya. Hmmm"
2024-10-10 03:53:26,Adrian Abas,5,lebih mudah
2024-10-09 12:47:52,Andrey Kartadimadja,5,oke
2024-10-09 06:15:56,Rina Limbong,5,sangat memuaskan
2024-10-07 11:39:05,agdifalewi difo,5,GOOD
2024-10-06 14:03:59,Ali Nurman,5,Nica
2024-10-06 05:55:57,Indah Prasetyari,4,kopi paling recomended
2024-10-05 12:24:10,afif wuryanto,5,ok
2024-10-05 01:42:38,Desi Christiani,5,rasanya mantaap
2024-10-04 06:30:55,Fridha1804,3,TAMBAHIN PEMBAYARAN QRIS
2024-10-03 08:11:54,Muhamad Rizal Canavaro,5,"UI bagus, fitur lengkap, promo lumayan, memudahkan order, keren app nya"
2024-10-03 07:19:29,أندري أب محمدين,5,great
2024-10-03 04:43:05,Umi Rohmah,5,"fore kopi paling enak, sukses selalu untuk fore coffee"
2024-10-02 14:01:14,Thomas Adolf,5,Excelent
2024-10-02 12:42:37,Ronitua Situmeang,5,ordernyabbampang bgt. dan selalu ada voucer. tx yah
2024-10-02 04:24:19,Listyanto Setyo,5,Coffee dengan harga merakyat dan kualitas rasa yang istimewa . Hampir semua golongan masyarakat bisa mencoba kualitas rasa coffee yg di sediakan
2024-10-01 08:41:42,Iswanto,5,Good
2024-10-01 02:02:47,artha xu,2,pdhal br download tp ga bs atur negara nya.. udh di klik2 tetep ga bs.. apa lg ber mslh ya?
2024-09-30 05:15:35,Agus Prabowo Dany Utomo,5,langganan..
2024-09-30 05:07:18,Meitiani Pauziah,5,Mantap banget
2024-09-28 09:55:42,ARDI WIJAYA,5,"love it, coz banyak Bonus nya ..."
2024-09-27 09:09:23,Sisca Fania,5,Halo kaa untuk apk sudah bagus dan keren banget banyak promonya semoga tidak berubah ya dan tetap mengedepankan kualitas💗💗
2024-09-27 01:46:30,Alvina Oktaviani,4,"Tolong aplikasinya di tambahin fitur notes saat pemesanan, karna kadang take away pengennya ada menu yg bisa di pisah"
2024-09-25 10:42:09,rismara fadilah,5,banyakin promo
2024-09-25 10:04:32,jajang hendra,5,memberi kemudahan utk pesanan
2024-09-25 01:41:22,Abdurrahman Alhamid,5,Nih yang mau reffral tambahan diskon 458ACA
2024-09-24 04:20:56,Reggi,5,mantap cepet
2024-09-23 07:48:20,Tanjiro Bastian Chandra Panjaitan,5,oke
2024-09-23 04:14:01,Rizky Amelia,5,good
2024-09-22 12:23:21,Ahmad Juliyana Saputra (Putra),1,ini fore seriusan ga mau ngasih diskin up to 50% untuk pengguna baru aplikasi? ampun dah
2024-09-22 11:06:41,Sidiq Muhammad,1,"Susah x aplikasi kelen mau pembayaran, keseringan gagal terus, jadi malas pesan"
2024-09-22 10:32:22,Dwi Handayani,5,ok
2024-09-22 09:49:40,dhea ozza nataputri,5,baik
2024-09-21 11:42:46,Ari Kristiansyah Putra,5,Mantaps
2024-09-21 10:30:36,jens soekarno jens,5,good..
2024-09-21 07:32:33,Lina Lina,5,Semoga makin di banyakin lagi promonya hehe
2024-09-20 13:22:54,Christ Tjan,5,terbaeeeekkkkk nice coffeee 🤤🤤🤤
2024-09-20 10:06:07,Agung Pasaribu,5,apps nya bagus
2024-09-19 16:30:14,kgs riduan,5,Yang mau voucher tambahan boleh pake refferal AE2843
2024-09-19 05:27:10,Winarti Titi,5,seneng banget krn semakin mendekat ke kantor
2024-09-18 19:50:03,Berlin Tamba,5,Ok Google
2024-09-18 10:56:47,Tio Elvando,5,mantap
2024-09-16 12:23:33,Briyan G,5,ok
2024-09-16 09:12:44,Millati Rizki Utami,5,mantap
2024-09-16 09:08:21,Gojek Jakarta Driver,5,mantab
2024-09-16 05:40:21,Alif Firmansyah,5,"Banyak penawaran menarik, tanpa lag, tanpa bug, mempermudah, istimewa, beda level, sangat puas dengan aplikasi, pelayanan, dan kualitas menu nya"
2024-09-15 23:39:27,Rina Mahrani,5,"Fore coffee minuman coffee yg memiliki cita rasa yg berbeda dengan minuman coffee lainnya, dan juga memiliki varian yg banyak."
2024-09-13 02:15:07,Budhi Hermanto,1,Sya sbg ojol di karawang. Mau komplain sama fore coffe yg di Galuh mas-karawang. Jk ada orderan GO-FOOD dan GrabFood dan Shopee food. Tolong di utamakan di buat lgsg orderan nya sama barista nya. Jgn masukan antrian yg order minum di tempat/di resto nya. Krn kita sbg ojol anter ke CS sering di komplain. Lama pengantaran nya lah. Nunggu di resto sampe 20-30menit lahh. Jd tolong dgn sangat. Dahulu kan orderan Online dri pada orderan yg minum di resto.. Terimakasih
2024-09-12 13:34:25,rizkyfir,2,"Tambah menu gula dong, ga semua suka manis"
2024-09-12 13:09:19,Balqis Sabban,5,keren
2024-09-12 08:58:24,Suci Wulandari (Ms. Suci),5,kopi enak
2024-09-12 05:28:11,Ano Kenzie,2,"Akhir-akhir ini promo Fore di apk sudah mulai pelit, diskon nya hanya 5% saja LG. Gak seperti dulu yang bisa kasih diskon sampai 25%. Trus dibikin LG program berlangganan supaya dapat diskon yang oke, yg berguna hanya program buy 1 get 1, yang lain gak guna. Mungkin karena sudah banyak pelanggan kali ya jadi harus kurangin diskon di apk nya."
2024-09-11 03:24:13,Niwayan Shri Astini,5,Best
2024-09-08 10:33:54,Nita Saragih,5,ok
2024-09-07 15:11:42,Zone Public,4,"Mungkin bisa tambahin buat pembayaran Via QRIS or Virtual Account, dan opsi buat less sugar untuk semua ll varian minuman."
2024-09-06 10:19:22,Mohamad Kelvina,5,"Halloo kak untuk aplikasi sudah bagus ya kak jangan ada bug, semoga next ada fitur noted untuk minuman nya ya kak💕"
2024-09-06 03:41:51,Anisa Qorina,5,kopi terenakkkk
2024-09-06 03:20:37,Julianto Yul,5,mantap
2024-09-06 02:54:51,ida farida,1,"Sama sekali tidak bisa aku gunakan, saat ingin melakukan pembayaran."
2024-09-02 06:17:33,Iqbal Bachtiar,5,"sangat mempermudah saya untuk memesan coffe tanpa antri, banyak diskom juga"
2024-09-02 01:31:57,Rudiono ONO,1,W copot aplikasi percuma pelayananya lama
2024-08-31 02:54:12,Welly N,5,Very good application
2024-08-29 17:07:09,Bai Bai (dhery),1,"Aneh, masa pembayaran melalui dana bukannya diperbaiki, malah dihilangkan, ga worth it banget"
2024-08-29 03:20:17,ImasMasrikah Albica,5,good
2024-08-28 07:27:20,Muhammad fateh Radjasa,5,Muhammad Fateh Khaakaa
2024-08-25 07:38:34,Satria Anugrah,1,Percuma pakai aplikasi tetep aja antriannya sama kaya pembelian langsung di store👎
2024-08-23 07:40:19,Maria Novhie,5,enak cepat mudah.. banyak promo yang berlaku
2024-08-23 02:53:36,Reky Asrudin,5,top dahh
2024-08-21 08:47:44,Harianto Albarr,5,Tempanya keren dan nyaman
2024-08-19 03:36:45,Ibrahim Kameswara,1,"fore yaampun bikin puyeng meribetkan saja, pake dana eror mulu seminggu eror mulu sampe isi gopay pun diribetin, terus vouchernya bermasalah terus kenpaa sih. udah komplein ke whatsapp tetep aja ga dikasih solusi"
2024-08-17 01:57:02,Harry Susanto,5,mantap sekali rasanya
2024-08-17 00:15:46,Dhika Wulandari,5,Juawaraa bgt kopii nyaaa
2024-08-16 10:42:33,ZAMZAM.,4,"Baguss, sekali tapi suka eror. Soalnya saya udah sambung ke dana malah suruh sambungkan lagi mana eror lagi pas di sambungkan yang kedua"
2024-08-16 05:01:54,Farid Rahfi,5,good coffe
2024-08-15 05:39:44,Kelvin Alexander harli,4,Aplikasinya bagus tapi metode pembayaran menggunakan dana kadang error
2024-08-15 04:58:39,Eddy Roland,5,Mantap 👍🏻
2024-08-14 17:33:24,Raihannufus Syahdan,5,"Mantep ih banyak promoan. Salah satu brand kopi lokal yg bisa bersaing ama brand tetangga dari mamarika. Best pokonya buat fore 100/10. Instal aja gais, gakan kecewa"
2024-08-13 08:48:30,Themmy Lee,5,enak yummy all item
2024-08-11 15:32:24,08. Gala Sangga Buana Baytu Thouhid TPU 16,5,banyak diskon
2024-08-11 12:33:53,Ali Bakri,5,Ok
2024-08-11 09:52:33,Siwi mniez,5,ok
2024-08-11 06:51:13,Ilham Kurnia,5,Ok
2024-08-10 06:23:58,hadi Jamal88,4,banyakin vocer promonya dongg
2024-08-09 12:29:11,Arif Andi Asofyan,5,uwenakk seh
2024-08-09 11:13:35,Rindu Setyo,5,Mantapp ...
2024-08-09 08:03:28,Deny Kurniawan,4,"Kolom nama di batasi 13 karakter, gimana sih"
2024-08-09 04:08:44,murti anggraini,5,Koq hr ini tdk bisa dibuka aplikasi fore saya
2024-08-09 03:09:01,enoking id,5,enakk
2024-08-08 07:48:48,Elsye Agustina,5,mantap yg pandan ok poll
2024-08-07 06:32:47,Pally Begins,1,Fore pelayanan terburuk jatuh kepada Fore Alauddin Makassar Sulawesi Selatan.
2024-08-06 09:27:20,Aryana Prasetyo,1,Aplikasinya sering trouble
2024-08-06 05:47:51,Syarifah Anggeraini,5,Good
2024-08-05 13:13:39,Fahri Chaniago,4,"Udh bagus fitur²nya, cuman tolong ditambahkan metode pembayaran VA, sama Bank biar makin mudah lagi bayarnya"
2024-08-04 09:57:38,Adytia AW,5,josss pengganti merk sebelah yang pro ke sono...rasanya jg enak ini drpd sebelah
2024-08-04 07:43:09,na ila,5,I LOVE FORE❤️
2024-08-04 07:08:13,Pravita Sari Widodo,5,banyak promonya ❤
2024-08-03 18:34:07,Nurrin Fadilla R,3,"Sebenernya sudah bagus aplikasinya, cuma minusnya gk bisa setting jam buat pick up aja, jadi pas minumannya gk langsung diambil keburu udah dibikinin & es batunya cair 😂 jadi tiap kali order harus tlp store nya dulu biar gk dikasih es batu dulu & itu pun nomornya cari di google maps & kadang gk bisa dihubungi. Kalau pesen lewat aplikasi harus sudah di dekat store ya knp gk pesen langsung di store aja sekalian 😂 selain itu skrg promo EuForeia buy 1 get 1 jg khusus member yg langganan aja"
2024-08-03 13:50:25,Mirza Ash Ary,5,Butterscotch terenak & tolong Sering2 adai Promo
2024-08-03 11:55:21,Deni Hermawan,5,"aplikasi nyaa baguss banyak diskon, tidak perlu antri, dan nyaman buat nongkrong"
2024-08-03 03:21:19,aliyah ramadhani,5,"pelayanannya bagus, sering2 discount 50% yaa"
2024-08-02 14:18:55,Hendik Firdiyansah,5,Kekurangan di status pembayaran yang ga langsung terkonfirmasi
2024-08-02 08:24:32,Indry Alfian,5,pesenan delivery kalo bisa di press atasnya baru ditutup sm tutup gelasnya biar tdk tumpah2
2024-08-02 05:33:52,lyra,4,"Kopinya enak, tempat nya ga begitu nyaman sih soalnya mejanya kecil. Paling minusnya sekarang voch diskonya jd sedikit bgt awal2 25% skrg cmn 10% jd agak ga worth it untuk download apk nya. Harga jd sama aja kaya beli langsung di outlet tanpa apk."
2024-08-02 04:49:13,Susan Properti,5,mantap kopi
2024-08-02 02:52:19,Dumaria Pardede,5,semakin dekat dengan fore ❤️
2024-08-01 05:43:53,edward andreas,5,"kopinya enak, cuman sering masalah pas mau hubungin ke payment. kalau bisa paymentnya jgn tergantung nomor hp"
2024-07-31 02:52:54,Robby Hendra,5,Good good
2024-07-30 19:47:48,Berkat Sejati (TokoBerkatSejati),5,Ok
2024-07-29 04:33:49,Tyo Fik,1,Tolonglah pembelian online dan offline dipisah utk cabang paus.rawamangun....kasian yg beli online..lama menunggu
2024-07-28 09:39:14,sadiyah yayah,5,"suka kopinya enak, varian yg lain juga ok"
2024-07-28 05:39:30,Rima Purnamasari Nggilu,5,Enak dan mudah dipesan mau order lewat aplikasipun ga ribet🥰😁
2024-07-27 14:47:26,Ruli Maulana zed,5,kopi ter endul...🥳
2024-07-27 13:30:24,miftah subiyakta,5,good
2024-07-27 09:50:14,Ismail Fakhruzie,5,good job
2024-07-25 11:08:28,Yunisca Henok,5,"seru banget app nya, banyak promonya 👍🏻👍🏻"
2024-07-25 10:37:35,gayatri ayu,5,💖
2024-07-25 08:09:04,Dwi Ayu khoirunnisa,2,ko pembayaran BLU dihapus
2024-07-25 04:49:39,Syahnaz Sofia,5,good
2024-07-23 10:53:47,Mathyus 333,5,"aplikasinya mudah, dan fitur nya enak di pandang ga ribet"
2024-07-22 06:25:28,cahaya official,5,suka karna dpt voceer diskon terus
2024-07-22 04:02:55,Tiara Wijayanti,5,Sangat membantu tidak lama menunggu pesanan sudah jadi
2024-07-19 10:16:21,Driviana Enggar Berliani,1,"Pilih pick up, udah nunggu 1 jam, terus ditinggal sebentar buat jemput anak, giliran balik lg mau ambil pesanan katanya udah diambil sama tetangga w. TETANGGA W DARI MANA. RUMAH W AJA JAUH. 🥲 PLIS LAHH JANGAN DIKASIH DONG KALO ORANG YG MAU AMBIL ITU GA NGASIH KODE QR NYA. APA GUNANYA TUH QR PENGAMBILAN. NYEMPITIN RAM DOANG. UNINSTALL.."
2024-07-18 02:29:49,ro_hayati 11,5,"Dari dulu suka bgt sama pilihan minuman dari fore, walupun gak pecinta kopi tapi ada minuman yg lain"
2024-07-15 13:55:50,andie,5,Ok
2024-07-15 11:01:47,rizky legep,5,My fav
2024-07-15 07:46:14,Gendhis Keysha Gabriella,5,Suka sekali
2024-07-15 04:25:52,vita sari,5,ok
2024-07-15 04:02:33,Deliani Putri Syari,5,Kopinya enak walaupun promo 🤣😂
2024-07-15 02:57:49,Meri Safriani,5,mantaap
2024-07-14 10:18:19,Fajar vespa,5,nice
2024-07-14 06:00:21,Khalis Arif Pratama,5,mantap
2024-07-13 10:25:38,Soesi Iswanto,5,coffee favorit keluarga
2024-07-13 06:30:17,DerryL,5,"Barang sampai ditujuan dengan selamat, BNIB Ori, pengiriman tergolong cepat"
2024-07-12 14:11:56,Berlian Aarya,5,Mantap jiwa coyyy 👍👍👍👑
2024-07-12 13:27:31,Erma Neneng,5,suka suasanya kopinya juga 👍👍👍
2024-07-11 17:36:18,Pilot drone Pemda Garut,5,Murah ya diskon nya
2024-07-11 14:03:55,yongki pernandha,5,mantap
2024-07-10 11:56:13,Rosana Teresya,1,Kemahalan ongkir
2024-07-09 12:20:25,Ajeng Dwi Anjani,5,"coba bisa pakai voucher lebih dari 1, misalkan voucher dr potongan poin dan voucher diskon"
2024-07-09 11:11:50,Abhy Kun,5,excellent
2024-07-09 08:56:38,Nurul Huda,5,okbgt
2024-07-09 07:05:04,Siti Robiatul Adawiyah,5,good
2024-07-09 06:14:22,siti umroh,5,"kopinya enak2,tempat untuk santainya juga ada,bisa ngopi bareng keluarga mau pun teman,keren.."
2024-07-08 11:27:24,Ary Pramono (Ary pramono),5,mantap
2024-07-07 13:07:28,User Baru,1,Bintang 1 karena tidak dapat promoan BNI
2024-07-07 06:59:45,destia Sibanchet,5,terbaik kopinya
2024-07-06 10:43:46,Aidysti Suherman,5,ok
2024-07-06 02:44:03,Ajeng Afa,4,"masyaaAlloh kesukaann butterscotch sea salt, saking demennya install aplikasinya skalian hehe"
2024-07-05 07:03:24,Venny Anggraini,1,Ini knpa order gagal payment terus saldo ya ada. Gimana si
2024-07-05 06:02:46,Weni Wulandary,3,Terlalu lambat pemesannya
2024-07-05 03:54:49,WAW Raahh,5,coffee yg gak pernah absen untuk di minum
2024-07-04 14:39:36,Sugi Arianto,5,mantab
2024-07-02 11:55:27,Fahrur Rozi,5,mantap
2024-07-01 15:10:01,Shindy Yuniar,5,De Best 🥳🥳🥳🥳🥳
2024-07-01 09:58:34,DD DSW,1,"Menautkan Aplikasi dengan Gopay sangat lama kode OTP yang di minta masuk ke WA Atau SMS, padahal aplikasi gojek bagus aja dri tadi saya transaksi via Qris"
2024-06-30 12:10:12,Aris Rendi Hamzah,5,ok banget deh
2024-06-30 05:20:05,Azizi Rahman,5,best coffee ever
2024-06-29 12:45:22,VITUS YOGENSHA abinawa,3,lama pengirimannya
2024-06-29 04:42:05,Angelica Ayu,1,"Aplikasi tidak bisa di buka.. tulisannya karena memiliki bug, sudah diupdate tp tetep tidak bisa"
2024-06-28 13:35:05,Rikhan Luhur Prasetya,5,Banyak diskon cuy
2024-06-26 09:03:13,yusak saputra,5,Simple dan enak buat ngopi di sela aktivitas
2024-06-25 10:18:59,Nurul Aini,5,ok
2024-06-25 08:27:18,Azra Fadhillah,1,"contoh ngasih voucher tapi ga ikhlas ya gini, aku ada dapat Voucher buy 1 get 1, pas mau order ehh udah gabisa, aplikasi gajelas"
2024-06-25 00:39:32,Dela Destian,5,love the coffee so much
2024-06-24 07:27:11,Ajeng Fadilla,5,"aplikasinya mudah digunakan, banyak diskon+pesan jadi lebih cepat"
2024-06-24 04:59:25,Esti Wulan,5,kopinya mantap
2024-06-24 04:36:41,Julaidi Selian,5,next nya tambahin lagi dong metode pembayarannya melalui DANA
2024-06-23 13:29:28,Dania Siti Fadilah,4,Ongkirnya mahal bet bezirrrrr
2024-06-23 10:56:26,Gita Sapta Dewi,5,mantap
2024-06-23 02:19:46,a wong,1,Fore Ahmad Yani Bandar Lampung pelayanan lama !!!
2024-06-22 08:21:24,sisca Triwahyuni,5,good
2024-06-21 06:08:13,Arif Bondan Rudianto,5,"Pengguna baru jika mau dapet voucer 50% , silahkan pakai code 10DB5E, jujur aja rasa kopinya beda dari yang lain, ngak akan rugi deh ke fore dan tempatnya juga enak buat nongkrong"
2024-06-20 08:06:22,Zeffman Otniel Octobryand,5,mantap bosku
2024-06-19 01:27:39,Suprianto Hatta,2,Kok kalau beli langsung di store gak dapet atau terhitung poin aneh banget ini aplikasi
2024-06-18 08:01:14,Sunarti,5,mantap
2024-06-18 07:19:48,Wina Pradita,5,"kopinya enak, menu juniornya jg the best ❤️"
2024-06-18 03:41:20,Hengky Wibowo,5,top
2024-06-17 07:40:00,Yulia Fita,5,enak
2024-06-17 06:29:33,khodijah khoirunnisa,5,love love
2024-06-16 14:15:02,Nanang ss,1,Pelayanan.nya nol .. urusan luar kerjaan dibawa2 .. kastamer jadi ikut2an . Fore cofe grandwisata bekasi
2024-06-16 12:51:40,Agus k,5,oke oke oke
2024-06-14 12:40:03,Johan Toyota shop,5,i love fore
2024-06-13 21:43:46,Nurul Afifah,5,Mudah dipakai
2024-06-13 09:31:47,Hilman Abdurrohim Azis,5,enakk
2024-06-13 07:25:48,Uwi Amelia,5,memudahkan
2024-06-12 05:01:16,alfa bawias,5,sangat baguss
2024-06-11 13:30:10,EMI SARA,1,"Order via app fore dari jam 14.35, baru nyampe jam 20.15. Alasan hujan deras, tidak dapat driver. Tidak ada pemberitahuan via app. Harus ditelpon dulu store nya."
2024-06-10 06:31:19,melan sari,5,Sejauh ini masih lebih untung order di aplikasi fore langsung dibanding pesan di aplikasi lain
2024-06-09 04:51:15,Hartono Budi,5,good
2024-06-08 11:28:32,dhini ariesta,5,baik
2024-06-08 05:44:11,Mahendra Arya wardhana,4,"Sorry cuma 4 stars, pilihan pembayarannya terbatas gak ada bayar langsung via qris ato apa kek virtual account, masa mo beli kopi aja hrs top up wallet gopay ovo dsb."
2024-06-07 16:21:21,Septrina Dafianti,4,kebanyakan update apk nya
2024-06-07 04:46:55,Ita Kaylaric,5,"Pelayanan baik, kualitas good"
2024-06-07 02:45:29,tata,4,kurang praktis saat memasukkan voucer
2024-06-06 09:00:00,Iyud Yudhi,5,cozyyyyy
2024-06-05 07:00:06,Syukri Muhammad Nur,5,bagus.... ngopi pas jelang hujan. di Bogor
2024-06-05 06:12:42,Wilia Wijaya,5,"keren aplikasi promo na sangat menarik, memudahkan banget sampai tujuan langsung pickup, bisa order dari kejauhan juga, tankiu fore sukses selalu"
2024-06-04 00:06:54,Fitrah Saputra,5,Mantap
2024-06-02 11:08:41,Aini Nur Syafa'ah,5,"Ngopi enak ga ribet dengan aplikasi. Pesan, otw balik kerja langsung ambil. Banyak potongan harga, free upsize dan voucher ulang tahun. Sukses selalu buat fore dan semoga salalu loyal sama customer langganan 😄"
